,CHILI,H_N_tot,H_bed_depth,H_bulk_dens,H_carb_org,H_carb_tot,H_cec,H_clay,H_fcc,H_ph,H_sand,H_silt,H_stone,H_text_class,N,SANLC,SF,alpha,bare-coverfraction,bio_Pdq,bio_Pwq,bio_annP,bio_maxT,bio_minT,canopy_height,change_abs,change_norm,contrast,corr,cov,critwilt,crops-coverfraction,cti,dissimilarity,distance_roads,distance_settlements,distance_trans_lines,elevation,entropy,evi_summer,evi_winter,fieldcrit,grass-coverfraction,homogeneity,ksat,max_extent,maximum,mean,moss-coverfraction,occurrence,ormc,pielou,range,recurrence,roughness,satfield,sd,shannon,shrub-coverfraction,simpson,slope,snow-coverfraction,spi,stc,topD,tpi,transition,tree-coverfraction,tri,uniformity,urban-coverfraction,variance,vegtype_id,vrm,water-permanent-coverfraction,water-seasonal-coverfraction,wcavail,wcpf2,wcpf3,wcpf4-2,wcres,wcsat,wp,osm_water,seasonality,BurnDate,BurnDate_count
CHILI,1.0,-0.038944475999597265,-0.05718639721558294,0.16010088553543508,-0.1602437560005376,-0.004485596535168709,0.14990556039887276,0.06967262812231398,-0.17010696935835906,0.1886613540615513,-0.012418649071505626,0.06298585895793851,0.08260063227685731,-0.0041438002126331875,0.09264877052400364,0.08031379201310636,0.09643355204609251,0.14781819622270573,0.06700890349060697,-0.16483809671526495,-0.25820911417529624,-0.25901952452977955,0.2332466448029601,-0.06647816997855703,-0.1465808535390028,0.09862249570557148,-0.01374316143136575,-0.018811923206888646,-0.0321462755268792,0.0192468621816475,-0.15936043051996507,0.016445148911101735,0.021243395486372052,-0.015739694955116474,0.020518927125745788,0.05467000580108483,0.01682344008084765,-0.07326382235989996,-0.015635553352982723,-0.20311598544495352,-0.10043130975139367,-0.19922647277115954,0.09359389014008682,0.0142992264203184,0.20025785691235048,-0.0016310721887224976,0.024636276949813747,-0.17744829296159767,,0.1476603387718949,-0.16052116259913277,-0.00734697500651847,-0.023194319175714687,0.12558073778489148,-0.24686839956728754,0.09639506731896341,-0.024586895498239936,-0.020439693606352137,-0.025631662020968216,-0.014673730824048057,-0.24665008057330615,,0.0035333094324825585,0.017251931729840457,-0.2671249421665465,0.1323472615424123,-0.14751978877698768,-0.15780356299120468,-0.24515842904782364,0.016523572175134064,-0.002620630008663944,-0.026684407638608878,0.10949893327235885,-0.22169967319568812,-0.004280595295473492,-0.022809115424377354,-0.1816442783656862,-0.16668181616745917,-0.1461737052287977,-0.13199127354348406,,-0.20925977176604996,0.0268470205013798,0.0030547270719613532,0.1382424009290638,-0.06525827954894041,-0.08333347176462456
H_N_tot,-0.038944475999597265,1.0,-0.2354363155834033,-0.7489292597519253,0.6619550940186579,0.8154173852753976,0.5960729296360965,0.7570806734810431,0.296782156043611,0.4403406109602217,-0.8195224197272055,0.5917920731047592,0.17557129696538182,-0.593334550399199,-0.18460324274923143,0.25066550538978916,0.2834714300846809,-0.2381711877475774,-0.31513231837079464,0.285098228474499,-0.1515731758580518,-0.053967797895243697,0.31404137242521774,0.12247950853511395,0.028606914962532516,-0.019037246908030502,-0.042938856747365,0.196153951904117,0.07867390933851431,0.2588324864934375,0.24324744230640596,0.04672117210004427,0.006540730166721446,0.26169201269316245,0.07622367608762005,0.35361225002661734,-0.20466676741088496,-0.22832423961471388,0.2631797008888154,-0.059364893519935145,-0.3473726283975422,0.26576068013470394,0.3633310105392635,-0.2795677719530418,-0.15852890845640227,0.008906122533152578,-0.2180973961101687,0.04462471431394533,,0.11416958992636062,0.25089674427672365,0.1420056870400535,0.26490933439472913,0.05931355756222806,0.24871535022556146,-0.19101729924268732,0.26116855890469004,0.2849724272934736,-0.42828360878166855,0.2647746231560404,0.2511804543815275,,0.05786992334364151,-0.13194546020851408,0.26226336395567357,0.011726513608063,-0.01720346568224319,-0.11110742803991877,0.25478629375768064,-0.22570195482034652,0.007072830048776555,0.17441991198508258,-0.2605945760949206,0.2732894600370235,0.02642281197714489,0.04809920748182956,0.2587377862860497,0.24853322472260553,0.2319697258777967,0.21886260210113703,,0.2479411381059277,0.03175336431242166,-0.023035586135766072,-0.011334690316510819,0.17022727456231315,0.1987525957292901
H_bed_depth,-0.05718639721558294,-0.2354363155834033,1.0,0.04045333433412977,-0.03201272681928298,-0.2109818517130204,-0.337453002085251,-0.352069186720088,-0.057802956952703995,-0.30552610670655084,0.24693482549168017,-0.12594154439334085,-0.1528596351467409,0.20255774133362175,-0.02053512740593774,-0.2313488556791061,-0.29277342312591254,-0.04077536596551962,0.062212571582142676,0.13734322614283634,0.18899769207601286,0.18482169731805173,-0.20282582411030822,0.09873755313219475,0.14573002088991957,-0.06804095030574994,0.031004242161170724,-0.02020172794003762,0.00048811696503515555,-0.07158243204085626,0.053876566602621,-0.1456371670600437,-0.02051882726298669,-0.03943562314577228,-0.015426666588750257,-0.2882528186293443,0.14094313583629225,0.05389371971769247,-0.053573984361620655,0.17625457967593813,0.1691085279652457,0.0660133334014705,-0.15546176239855836,0.05048233097679105,-0.11107100877837278,0.0021910710392830735,0.04762933960877807,0.13102556705640475,,-0.1438155048600701,0.0063358005486872405,-0.016181312658237294,-0.03665598357545568,-0.1393685881780472,0.05726130001432609,-0.02619568921758413,-0.03805322570643765,-0.04844165405608254,0.17935183175864128,-0.04404651210656995,0.05894071595826455,,-0.042368704179848525,-0.01764209353451847,0.07588082742004781,-0.02165935127441097,0.13397419037903072,0.15643526212157394,0.056292012393685455,0.050469197843326805,-0.001295561926664469,-0.01674445016699946,0.040598739007203954,0.0016570882187531368,-0.002659483204902078,0.0013287599378056507,0.060740879982813474,0.056088334148501784,0.04961458870976327,0.04502204771698711,,0.07872577671326715,-9.053703766741929e-05,0.007700042836361518,-0.14472603819082167,-0.08469607975480217,0.006438938722110958
H_bulk_dens,0.16010088553543508,-0.7489292597519253,0.04045333433412977,1.0,-0.7917299725626766,-0.6500556579147394,-0.2658073750811772,-0.5054589700066789,-0.3287253971844914,-0.03484596253853395,0.6795457792560955,-0.4315754322211387,-0.02831931329477919,0.4889800036007746,0.348048086335039,-0.07984277354363281,-0.22539104705421165,0.47353455752864154,0.36121916235882,-0.6450693974798482,-0.23787042096390823,-0.36810335170603825,0.08439132038949029,-0.4147295577817744,-0.179410582109665,0.049290229761016775,-0.05245226502769422,-0.16869701314902133,-0.09558248873669774,-0.12044792252467788,-0.5049797850092598,-0.05865748225987404,0.099984200331982,-0.19371588401029233,-0.06306479354998319,-0.1898196177371055,0.10565700581228209,0.0848406473003596,-0.17706708074450697,-0.34473297694277694,0.19786147763777479,-0.562638321060198,-0.24222155570774523,0.18776478294966756,0.4888269014763081,-0.0009194668625384563,0.14212137887453985,-0.40776567273045883,,0.07443535325148906,-0.4277925087963746,-0.10579953470911618,-0.20635923892282296,0.10850173216866944,-0.37131165637680313,0.3666362255007078,-0.20779845995332588,-0.20526961340857056,0.39067460224030903,-0.18791169310423958,-0.3792058787692276,,-0.0083780568568934,0.17432281344960307,-0.4119142290750495,-0.03591168259076794,-0.17797983842988757,-0.054718656045809964,-0.376314514323482,0.14890865456726576,-0.03112079263515633,-0.15989023519629875,0.3913552036826199,-0.34457453163346285,-9.808334764809074e-05,-0.022938112519448467,-0.5423699451549764,-0.5175605760866717,-0.4789470801201571,-0.44928778284414095,,-0.5584139245209346,-0.025529317294817125,-0.0033964976268520235,0.2046015033940273,-0.20119450423809634,-0.4387076492403312
H_carb_org,-0.1602437560005376,0.6619550940186579,-0.03201272681928298,-0.7917299725626766,1.0,0.5734901806790059,0.10166539393785994,0.4060074043532274,0.3098863397691023,-0.1271750047056371,-0.5397548434563513,0.1812730656281939,-0.06505128598807464,-0.4151693946005456,-0.15219833976706837,-0.017962940670944567,0.13983005658282546,-0.30062937702879566,-0.41704219385365016,0.6360187953918307,0.41251431087745266,0.5036946503345415,-0.28220605278804173,0.3914562052043507,0.2316431896390668,-0.11291673455453856,-0.021220188244028253,0.07971015345173253,0.09053717608260092,0.016575005209279278,0.3281603606569235,0.0190043404489718,-0.20478398743900533,0.08079150890081671,0.07495076646528007,0.1446249720975999,-0.11171453602606815,0.19167723828135083,0.08364591377243222,0.38507088053989497,-0.12507559000743718,0.445007053381699,0.09217645411254859,-0.07227767090154415,-0.39432154862173924,-0.010194739560073763,-0.06797575933792391,0.379200633516365,,-0.09828184445890475,0.44723734252413927,0.041109578886599184,0.1033547888011787,-0.08506630294191665,0.44818810510433355,-0.16614689942343316,0.10478655122180854,0.09361004265551129,-0.220394206259429,0.08291294631881327,0.45767282010277,,-0.00929082375767166,-0.07550430442461127,0.48922962517468505,0.02373933698554086,0.18947872877008362,0.16369324717112124,0.4521202585950907,-0.06985754747978652,0.006797363322189873,0.08749523988415248,-0.38254588230928904,0.35435442080466034,-0.024029057088835643,-0.02465118446356598,0.3908615824768226,0.3474837619002553,0.2914050133499546,0.25292566752020523,,0.48339296109697233,0.007270367781609641,0.06816454046464605,-0.2123144608785265,0.24989810759237271,0.5281135150908971
H_carb_tot,-0.004485596535168709,0.8154173852753976,-0.2109818517130204,-0.6500556579147394,0.5734901806790059,1.0,0.6229500877715314,0.7359125235653499,0.19122505460257758,0.43338309457135205,-0.8470445283257788,0.5849837879368407,0.12163861422563123,-0.6371234747935216,-0.20721087167526767,0.27635602999792486,0.3541231690959602,-0.2544926658449067,-0.3537180228405962,0.35196151181743335,-0.1121033326537284,-0.018731367772371638,0.2616029478650853,0.052707973592782224,-0.053629005521469986,-0.043146087848121524,-0.0053214900040515776,0.13077488564176135,0.07724414950494614,0.17590755755289936,0.24473049827195884,0.042035843516684976,0.0643997781992823,0.183725377347641,-0.004331344328427264,0.28417943642568827,-0.14214366626151959,-0.21639936796802497,0.20957403227948773,-0.05692735103421125,-0.38863014348167546,0.2568841826629204,0.4107740274947031,-0.20452163172753224,-0.18556122439852674,0.008071566560742585,-0.16823336642911113,0.10128739772690905,,-0.02708151627654954,0.14097531341829958,0.11035957557100548,0.19047941018606215,-0.000764940469363573,0.06217607224198207,-0.20776512938689637,0.18666284669647237,0.21520071103502147,-0.43723911972666235,0.2019514874781008,0.06794401872906303,,0.005284335847052714,-0.07232534360075846,0.08037549431076454,0.009450135978223872,0.04368309415899136,-0.15985850217034336,0.06723934289465498,-0.17514569560955526,-0.022119721102190876,0.11904514933523232,-0.4228596353879503,0.1018073451331502,-0.013981753924260704,-0.0019998693792950654,0.2552591735330712,0.2491201379415038,0.23679498398642684,0.22690450365411147,,0.22641943736503514,0.01261478842338675,0.0559160883779661,-0.13033370115960094,0.13780983581422018,0.2116214690484545
H_cec,0.14990556039887276,0.5960729296360965,-0.337453002085251,-0.2658073750811772,0.10166539393785994,0.6229500877715314,1.0,0.806154475784488,-0.057091427880670426,0.8531674831738977,-0.751794931629791,0.6995193857854113,0.4378063496463725,-0.5347617303383913,-0.1787988526447848,0.39999799263065694,0.5006008350680468,-0.1063912884807717,-0.14288493417163475,-0.08773249377295991,-0.5716306123312083,-0.5165295781508943,0.6838475551235964,-0.23404297985800443,-0.3889762409252775,0.06429600185867054,-0.015584516331610367,0.07074808285971952,0.0028950572154534107,0.20697645412087723,0.060969730977199446,0.06463012227568964,0.24519366497743408,0.15433070743932706,0.06977528549651331,0.4101780366202043,-0.16350932993233624,-0.5174017154046654,0.20046337727199168,-0.4715201144888017,-0.5729510418441883,-0.03774312772442125,0.6701594063915581,-0.2029707635767828,0.11545317698642912,0.013918076267778523,-0.15972104266785128,-0.25675889864315127,,0.09716054757589059,-0.1952275278981141,0.09271873656121629,0.13821539267974722,0.16370969010870987,-0.29279374638725375,-0.17035796958780364,0.12907808986674216,0.1948821599371899,-0.5124882920448387,0.18721321291440501,-0.2938700407925734,,0.0008399609156826798,-0.04657427162044098,-0.31172406683425663,-0.01621787477507647,-0.19218504571464837,-0.5727622188167447,-0.28802189471425976,-0.17186763896566598,-0.06062793323506892,0.041311978992626286,-0.12350163000786166,-0.1625291789126533,-0.0037997673108772423,0.0045870905242972465,0.014427259655300053,0.04795468424017723,0.0846817231159189,0.10702565685808627,,-0.1330799771502495,-0.011202971986208463,0.05644981705309873,0.07908776870661222,0.05690843601245011,-0.09742054968445861
H_clay,0.06967262812231398,0.7570806734810431,-0.352069186720088,-0.5054589700066789,0.4060074043532274,0.7359125235653499,0.806154475784488,1.0,0.15479110511133887,0.6883037631767149,-0.8618443017918017,0.6373463114153165,0.41249920686741154,-0.7207922190100239,-0.0816797983759309,0.35782679765949227,0.5332013147149093,-0.08065389202408307,-0.24108406852153724,0.0895161939870605,-0.3342684329882906,-0.2714665021329083,0.4883886838500491,-0.043371934613071095,-0.3225887594231667,0.05307984441616844,-0.07985754519887346,0.13356680082818337,0.043370531961341864,0.23882282042038394,0.056615767343266794,0.15856672543793762,0.12594424750815436,0.20848558179553825,0.08746921285766403,0.41518099797325153,-0.21404287017727855,-0.24355393023549446,0.2395194476499984,-0.30639961288713835,-0.5414407381717237,0.04273306478243162,0.6330860094814189,-0.24074709702800853,0.06458076895881495,0.00696619478980701,-0.19200020287859357,-0.1324954223947243,,0.19527616831408356,0.056896236353171654,0.11730631234475138,0.20568735451485837,0.21654592285904362,-0.03430855686017757,-0.07942015333473317,0.1990358304134546,0.24321917467050003,-0.6096464253061112,0.22782013689718258,-0.034473959951121264,,0.01593800022250678,-0.051155267852401536,-0.03678023647151191,0.01343642284699312,-0.1494613298788814,-0.455991568563123,-0.030204523770325727,-0.20170807927304812,-0.01703204628885266,0.11181077056504862,-0.22381960326863506,0.05318173535653997,0.013616346474899411,0.013013018723937342,0.05102160655476808,0.05534593191845046,0.05904940493205327,0.06087260674857349,,0.005299284612403135,0.007137038905506042,-0.020602382968416842,0.17346094175931906,0.14968654021959302,0.16534821410691675
H_fcc,-0.17010696935835906,0.296782156043611,-0.057802956952703995,-0.3287253971844914,0.3098863397691023,0.19122505460257758,-0.057091427880670426,0.15479110511133887,1.0,-0.0897187336061635,-0.1469209285686123,-0.02003291861668705,0.08439350028960727,-0.1438097842869965,0.036516153183230274,0.060277098765164405,-0.03819893410583178,-0.007518586517959723,-0.061756333841135165,0.1666783076073185,0.23992048681024258,0.26040917670937574,-0.18945003081655185,0.12143954557297817,0.1475663462790464,-0.05639473786574593,-0.16069033188027423,0.03900991912224614,0.03465284669544837,0.07449090392513004,0.013941738867432253,0.009020479744312502,-0.1850739266181408,0.0626469934203077,-0.0469292996068791,-0.06315090883709154,-0.1462361129769641,0.306582485766436,0.07450594963478177,0.10315349285329897,0.06080488956297983,0.0679661095756325,-0.08724896485288301,-0.0772228549850902,-0.072507336869115,0.005765310418467103,-0.07036423462341106,0.0034122047585813105,,0.15171398903584238,0.27395389211715726,0.055216941618864535,0.06325804533626476,0.09695683408524332,0.5674461023750642,0.03644008794179891,0.06516604335423751,0.08021577500145373,-0.03246390430755588,0.07769896011669501,0.5614257500031408,,0.05619572249888904,0.010934525664468158,0.5534768889271926,0.05438719649646469,-0.12652969950211196,0.18276872756645796,0.5628515712090286,-0.06779747490301873,0.04692752748700455,0.039022568045481903,-0.06013576052776312,0.5924303366831568,0.01014296426882607,0.01140776362938289,0.04036946568014731,0.021928147508212533,0.0005086826394536943,-0.012636123831145827,,0.09418347477282213,0.010189579395687492,-0.006066847107884058,0.08186125926097204,0.10600935466640761,0.19705812651618718
H_ph,0.1886613540615513,0.4403406109602217,-0.30552610670655084,-0.03484596253853395,-0.1271750047056371,0.43338309457135205,0.8531674831738977,0.6883037631767149,-0.0897187336061635,1.0,-0.56309271486407,0.6206094163158488,0.4642007221398672,-0.43361580689076473,-0.004880212250088707,0.4246208364702462,0.45256567160277517,0.10415053171113552,0.027754632549307875,-0.34573285122703035,-0.7293143684301848,-0.7148594518600673,0.8107644744495369,-0.3478891993742762,-0.4665714685915352,0.0877662161394764,-0.11402933023711614,0.11254676502083402,-0.010072743472872934,0.2800936963575319,-0.1507015077835766,0.0985255843127045,0.32954442775387566,0.19745441582813614,0.08395667905801457,0.3860108558622701,-0.17823768436089368,-0.5047707530983371,0.21951805556910375,-0.6420403490128518,-0.489276242402984,-0.25340439456315944,0.6042473115269297,-0.2379974429161482,0.33922773835421205,0.016785598187753128,-0.17742286506736787,-0.4194505495040413,,0.2805812118402276,-0.28720501837143336,0.10341051798167449,0.17646332750162755,0.2795755852553198,-0.3536448823745359,0.006373208116578394,0.16979979258341177,0.21856510394618647,-0.4637358148233841,0.20546873734718066,-0.3585340482266804,,0.06687347293095132,-0.01869879333927238,-0.38640945680804895,-0.03679256951321535,-0.3052400035015575,-0.5851514621747095,-0.34808554452909973,-0.18625645056675777,-0.024636062640893762,0.08219742800703711,0.06580807413369666,-0.19585414191174283,0.03421570701695619,0.05058400935902457,-0.20314169675889118,-0.16657623094747856,-0.12173147995849642,-0.09243906707253242,,-0.33096615956114694,0.00867432778010355,-0.04913374528042755,0.25455952990793845,-0.04994180613493208,-0.25483299813666993
